Index,Reviews
20,"Well amazon did a great job they explain every pros on their details*Only thing is alexa is in beta stage may be it will take some more years for this AI to work like google assistant, because most of the time alexa says "" मूझे नही पता""*Interaction in hindi is better than google assistant*Sould quality is better than my expectations*Got it on amazon GIF with wipro bulb @2300rs with 100 of cashback ✌🏻* in winter season i don't need to go out from my quilt to switch of my home devices 😂😂 Thanks amazon* Good for my parents as they can ask most of the things to alexa because they r in a phase of learning smartphones features* Only buy if u heave a wifi router, will not work good with mobile hot-spot* Smart devices most of them only supports 2.4Ghz wifi router* Smart devices cost a lot as compare to normal electronics, with this speaker u need to spend extra bucks to make your home more smarterPS- Add motion sensing LED to ur home with smart LED ... It looks cool and u dont need to shout a lot to turn it off or on and the bottom line is they r more cheaper ✌🏻"
21,"The speaker was larger than I thought it would be, a bit chunky but not too heavy. It doesn't move about, because it's nicely weighted, even if played at full volume though I believe 50-60% volume would be enough for most people. The sound is very good indeed. The Bollywood and dance songs play great and even the rock and metal songs are enjoyable. The bass is not very heavy but the sound seems weighted nice for bass heavy songs. Alexa makes it so easy to do so many things, especially if you have smart appliances and lights and all at home which are compatible. Sone things I find enjoyable are asking Alexa to turn on the tv via my smart plug and play a particular show on the fire tv stick and by the time I get to the living room everything's on and the show's about to start. You can even use it to call your family to dinner if you have two or more echo speakers. Some privacy issues are there but it's up to you how comfortable you are giving up some for the convenience it provides. Playing music, the news, weather updates, traffic updates, reading your Kindle library books to you, the possibilities are endless. Spotify too is very nicely integrated with Alexa. The only downside is that the Google feud means there's no YouTube or YouTube music support officially and you have to run through some hoops to get it working (P.S. look up Paul Hibbert on YouTube [oh the irony]). P.P.S.-Amit Bachchan's voice is now available via Amitji keyword but unfortunately you have to pay extra for it :)"
22,"It’s an amazing product to have, especially the integration with your google calendar and tons of skills to play around with. Though hoping there will be more better software updates, butIt’s a bang on product for the price. Bought wipro bulb and echo dot together for 2449Rs and then returned the wipro bulb and got back 700Rs. So got the Alexa for just 1750Rs, which is truely a bang on for a smart assistant and a Bluetooth speaker ;)"
23,"I like Alexa and the features. But rated 3 due to the below facts.- No inbuilt battery. A big minus. In today's mobile world, you cannot enforce the device to be plugged in always.- No USB charging facility- Alexa app is horribly slow- The moment your wifi connection changes, it cannot detect. You need to reconfigure itPlus features- Device shape is great- Sound quality is superb- Voice response is awesome"
24,"This device refused to set up because the Alexa app just didn't work on my mother's phone. I had bought this for her. I even tried signing out of the Alexa app on my phone and then tried logging into her account on my phone and as soon as I would log in, the app would go blank.I'm still confident that there is nothing wrong with the Echo device but there is a problem in the Alexa app. More specifically there is a problem with my mother's account on the Alexa app. Unfortunately there is no way to fix this or talk to any kind of customer support. Customer support is a chat bot which has a preset list of questions that you need to select. There is no way to get any support for the app.My suggestion would be to stay away from such 'dumb' smart speakers. Amazon US is very helpful, because the laws in  that country require them to be. Amazon in India sucks when it comes to Alexa app support, because there is no way to talk/ chat to someone who can check the account.Its strange that my worst purchase from Amazon is actually an Amazon product and not something sold by a listed seller."
25,"The product has intermittent issue while connecting with Phone for playing videos sound.  Spoke with Amazon Tech support, they went ahead with raising replacement after some troubleshooting. Now, they picked the device. Though no replacement update.  Nothing in the app which indicates that the product has been picked up or replacement has been sent.Moreover the device itself dont have connectivity with ZOOM app and for calling  in India. Though the feature is available in other countries through Echo Connect feature.Hope they will sent the replacement."
26,"Alexa is horribly wrong and Dumb..I made a mistake by not buying google mini speaker..Alexa has no answers...It is a stupid speaker..I know u need to enable the skills and all that..However, it is still a very bad Assistant..Fully disssatisfied..Audio quality is good but one can buy a simple bluetooth speaker at 1/3rd the cost rather than messing ur mind up with such an incapable AI speaker.. It cannot answer 90% of your questions.Used with Fireststick: limited usage and that too with limited apps.Will still need the remote anyway. Not much useful with Firestick.I strongly suggest please Buy google home mini instead..Audio may be a bit less but the google assistant is amazing.."
27,"We purchased Gen3.  The voice of assistance is too heavy. No equalizer settings.  App has a very poor design and functionality.  Sound of music is rich, but very poor in high frequency (treble), bass is good as per the size of speaker.  Overall, good to hear music.  AI is just okay, has very limited AI features, Mobile's Google voice is way more intelligent in answering questions.  Good for wakeup alarms and listening music.  Apps like spotify is very poor as opposed to Advertisement shown.  Youtube selects better song lists rather than Amazon's music or Spotify.  Gaana is still better, but way behind Youtube.  Crux: If you have a small and good quality speaker system, just pair with your mobile and it shall be better; more better if use an old phone as no sms & phones shall disturb.  These smart speakers are always listening (except for mute) ... always leaves me in doubt."
28,"Everytime I connect to the device it says playing from and mentions my device name. This comes at high volume as this volume can only be controlled through the device. But this doesn't end here. Alexa shouts playing from and my device name everytime. If I lock my system and re-login then it shouts this message. If I stay idle and don't move my mouse for 5 mins and then move it then I get this mesaage again. Sometimes it happens when I am playing videos as well. A video will be playing and suddenly Alexa shouts playing from and my device name. Unfortunately even though I tried many things to get rid of that, I wasn't able to get rid of this sound till now. When I connect to Alexa speaker for the first time it doesn't connect properly and it plays with breaking sounds. This happens many times and I have to keep disconnecting and connecting it back till it works properly. Overall it is a fine speaker but there are too many problems that I face everyday with it."
29,"In a word... Just fabulous...Not that much works in queries like Google. But GK level is quite good.For music it's outstanding.Voice recognition, sound quality, the LED ring ... All experiences are just awesome.Don't know about Home assistance, didn't try but didn't work to call or message on any number. Whom you are calling need to be added with your Alexa Profile. Of course you won't give access to outsiders. It's only use for family members only. So it's not useful that much.But After all these ifs & buts... Me & my family members like it very much.."
30,"I bought this as a productivity tool- during the pandemic while I drift between office work and housework, I need something to remind me of upcoming tasks or meetings.  It fails terribly due to lack of  thinking by the designers.1. This devise should require  a password or PIN or recognize the voice of the person before proceeding further.  It should not allow anyone to hijack your device- in my case my 7 year old, who keeps fiddling with the reminders  or moving it away from a central location to his room. ( don't tell me you can't do voice classification, then at least ask a PIN ). For me the device is useless now, as I may not even hear it and important reminders may get removed. 2. The India model at least has no working profanity filter, my son plans music with profanity and there is no way to restrict access.3. Searches sometimes fail miserably- it is not recognition, the problem is the content that is being searched for an answer.  Google's device is probably is stronger here with search results4. The reminders should  have an option to repeat till I turn it off by saying ""acknowledged' or 'done'"
31,"My perception about ambient computing changed after I bought this alexa device and Iam loving this device.Alexa's voice is a bigger USP , such a soothing voiceBest WFH home companionLook up alexa skills and you will be facinated how many thousand skills it has,Check out Alexa skills in amazon website & in alexa mobileAlexa is a platform and Amazon making it better everydayThese are early days of ambient computing and no assistants are perfectYou can use google assistant from ur phone via bluetooth to get essential from google assistantSpeaker Sound quality is decent and won't  hurt your ears.Amazon adding more songs to  Amazon music and if you have prime subscription you are gonna enjoySpotify integration with Alexa is intuitive with free spotify accountWe can set out Alexa routines and blueprint feature is awesomeIOT connectivity  is seemlessAlexa reads news from Ndtv , TOI, ET, and more.Alexa market share is more than google nest,so developers line up for alexa than googleThank you amazon for creating this best Alexa speakerMuch loveAlexa user"
32,"This review is after using echo dot gen 3 more than 2 months. While there are both Pros and Cons, this is a good device to enter into connected devices world.Pros:1. Good looking gels nicely with the environment.2. LED ring gets your attention when in need.3. Good sound quality on playback.Cons so far:1. Sound is muffled for the responses from Alexa, you can't make out clearly on what it says most of the time. No fix yet { reduced one star because of this. }. Due to this issues it's being used as just a music player most of the time.2. Compared to Google Mini, Alexa's search contextual hits are lower.3. Was unable to get Follow-up working properly."
33,"The integration with other app is difficult and many times it unable to perform well with voice recoginitionFlaws:1.Its difficult to pair it with smart switch and bulbs.i was not successful,in doing so2.voice recognition sucks3.the help provided ia not good at all.not a good assistqnt.4.cannot plqy music or video from yputube5.no proper help for automating6.cannot use it as output speaker with my projector7. Simple automation scripts for pairing should be provided as a sample so that ppl can directly reuse them8.it only search songs from limited platforms.that huge disappojntmentNot satisfied at all.Only thing that I like is sound of speaker"
34,"A great device to get started, echo dot is a great device to first know your requirement. Alexa is integrated well enough but the voice recognition will give you trouble in later stages as it fails to recognise simple regular commands after a while, you will only see the blue light which after taking no action will turn off and resume the ongoing task. Many times it will disappoint and embarrass you, can only hope it to get better in future.Update:After using it for 1 year i would say it isn't that good of a device, now out of 10 times calling itout, it wouldd hardly respond twice. May be they have made the 4th gen better in this aspect but this device if you're even getting at a discounted price of 1k, don't bother. Not worth your money."
35,"Got a sweet prime day combo deal on this and this is my second purchase of this device. For the price and the ease of use and integration, I am very happy with it. I only wish it had a chargeable feature to go alongside it to make it truly portable but I guess Amazon has other devices which cater to that need.I really haven't used the offerings from google and apple in this category so will not compare but just for itself, this device is a charm."
36,"Hello,I purchased this from somewhere else.. After using it for a while, i noticed the amazon music service doesn't work at all. I was under the impression that amazon music, which is freely available with echo devices would work. After trying for hours to make it work i gave up, Alexa replied that ""She couldn't find anything"" whenever i tried to play something on amazon music. The only service that works good so far is Hungama Music. I am saying this after testing all the other services like Gaana, JioSaavn, Spotify etc... Gaana works as well but it has some issues... Spotify also works but lacks many songs.Aside from that, the mics are good but only till the volume medium, because high volume makes the device hard to hear us. Anything over volume level 6 is bad, and Alexa won't hear us unless we shout at her. I really liked the 2nd gen which had 7 mics yet this one only offers 4.. which is a downside for me. Hardware wise the sound quality is good until the volume level 8, but anything over that makes the sound distort and would be a pain to hear it.Alexa is on the other hand is good to talk to, she (It) can play music, tell jokes, read stories, sing songs, set alarms, set reminders, control smart devices etc... with the bonus of human like speech. This was the factor made me buy this. But on the downside she lacks too much intelligence compared to her counter part Google assistant.. She can't even answer the basic questions and just forwards us to Wikipedia. I hope amazon continues to improve Alexa.So as a new buyer which one to buy? Alexa or GoogleIf you don't care about how the assistant speaks, (robotic speech vs human like speech) then go for Google assistant speaker. Because Google and Alexa devices can both can do the job for smart homes. But Google uses their vast database infrastructure for information so obviously it will have upper hand in this department.But if you care about how your speaker speaks then go for Alexa.. without thinking anything.If you care about information then go for Google assistant else Alexa should be your preference."
37,"Sound Quality was unexpected from such a small device with a single small speaker. I enjoy FM radio (through skill) everyday. This is very useful as analog FM reception in our area is very bad. Through skills it reminds me of my medication.  Command detection is mostly accurate. But when searching for music, it plays wrong songs at times may be because of the very limited music collection with amazon. Pairing with a second Bluetooth speaker using ""discover"" command is not working unless you remove the already paired device using Alexa app. I wish the alarms and reminders had user programmable/uploadable bells/voices as there is only one sound in the alarm settings."
38,1. Initially it feels a bit weird talking to a speaker but you get used to it in no time.2. The sound quality is pretty good. You get good depth of sound with decent bass.3. Several skills available and you will definitely find some very useful. For example adding stuff to shopping list or setting up a reminder.4. Understands the Indian accent very well. Sometimes I am amazed by how well it picks up stuff.
39,"Echo Dot is a good speaker and voice recognition is quite impressive. However, Alexa integration is still in the development phase. So be prepared to get frustrated.If you are someone who loves the old classics, you will find Alexa very disappointing. And don't forget, you need Amazon Music's premium account to be able to stream music on Echo Dot. That also means, Akexa will play only that music which is available on Amazon Music. I'm not a big fan of Amazon Music. It does not have much of my kind of music.Alexa also plays from Jio Savn and Hungama. So getting Alexa to play some music is not always a simple task to perform. And a lot of times, you want Alexa to play an album you saw on Amazon Music or Hungama but the voice assistant fails to find it!I don't have complaints about operating smart appliances with Alexa though. It's totally fun.Edit-1: It has been five months since I started using Echo Dot and I still can't easily find the music I love. On this Independence Day I tried to get Alexa play some classic patriotic songs like ""Jahaan Daal Par Sone Ki..."" but no matter what words I used, Alexa kept playing a playlist called ""Ai Watan"" which seemed to have all new songs, none of which I liked. Clearly, the music that Alexa offers has been selected by Amazon keeping in mind today's teens. And this won't change.Update: January 10, 2021Almost two years since purchaseThe device is still as good as it was when bought. However, it seems Amazon has made no efforts to improve their music libraries. Their focus is still only to cater to the youth, not those who love soft soulful music. When I ask Alexa to play songs of Md. Rafi, for example, she will only play noisy ones like ""Chaahe koyi mujhe jungle kahe..."". She will never include songs like ""Ik haseen shaam ko dil mera kho gayaa..."" even if the song is available in Amazon Music. The Amazon team thinks only college goers listen to its music. This is one of the reasons why I can not recommend Amazon's voice assisted speakers to friends."
40," Sound quality is good,fast response,easy to use.it is a good product and for those who are not much aware about the technology they can also operate easily.you can listen news and if you are feeling bored alexa can tell you good jokes.i m also using wipro smart bulb with Alexa and it is working awesome.i found only one issue sometimes alexa does not respond I think because when we give command from long distance I mean because of mic but overall good product."
41,"Sidhi si bat he iska pure use to sirf jo total sirf computer job vale hi kar shakte he baki to sab sholh k liye lete he,baki normal speakers ki tarah hi use hoga sound limited he ek room k hisab se, baki special search nahi karta kuchh only Amazon, Amazon prime music ,hungama,jese 3 se 5 platforms ko hi use karta he,baki puchho ge to javab milega iske bare me mobile app m jaye ,bss baki shokh pura karo baki naya kuchh nahi lagega"
42,This is useless device.0) it is not listening command properly. And we have to speak loudly.1) It is not connecting through Bluetooth to desktop. After a long research and hard setting it is connected and if we would change any song than audio is not coming. I am frustrated.2) Always need connectivity with internet / Bluetooth to operate any device.3) not playing music easily wherever we want.4) don't waste money if don't have 24 hours internet connection and related smart device.5) from desktop PC it is not connecting from cable and even from Bluetooth adaptor.So please please don't waste your money on it.Not a smart device it is useless device.
43, Overall good quality it is baby rhymes songs and also controls geyser doing well with compared to other versions this is economical and technically goodrecommended for others to buy
44,"Bad software! Alexa is not smart at all.voice recognition is not accurate most of the times but more than that Alexa interpretation leaves lot to be desired. Alexa is a just NLP and works on plain if else or a switch condition rather than being smart device. No where follows the user pattens, voice patterns and the people to come up with suggestions. Most of the times you get fed up with the results and then switch off the device. Mostly none of the songs I want will be played, I end up using it for casting the music from the phone, which anyways normal Bluetooth speaker will do at a less price.Hardly any useful tricks as they call it!Just works as voice command based device rather than a smart speaker!"
45,I got a discount of 1000 for this product during some flash sale and got the product at Rs. 2499. It originally costs 3499. So to buy at this price is a awesome deal. I really appreciate amazon for selling products cheaper than the original cost. These are very friendly and reliable devices that can help you to track any orders or set up an alarm or sing a song on any occasion. Every thing I tried and it works wonder. Definitely a must buy for young people who want to be smart in their day to day activities.
46,"Very nice product, this was my first experience with alexa, overall recognisation and sound quality is good , but it is not pairing with my  VU smart TV.Pros:Sound quality was too goodNo lag or delay in responseCons:-Should work with DC power also with battery backup, always we have to connect with AC power.-Without current you can't use this echo dot- listed very few Android TVs (example VU smart tv is not in the list)-Should enhance on 'Schedule to play any song by scheduled time"
47,"Clear case of breach of contract.I have purchased a an echo dot on prime day sale for 3250 post discount, but they have marked my order as delivered without actually delivering it.I have raised an issue going through ordeal of multiple calls mails and messages over 8days. Finally what I was given is 1600 rupees refund with a sorry message. Ihave lost 1800rupees straight away without even seeing the product.Howmuch every I try to escalate the issue the response will be the same, ""we can't do anything for you and you have to accept whatever happens""Now I'm understanding how corporate bullying works.Please be careful."
48,1. Bina wifi k nhi chalega only speaker bajao Or wo bhi plug 🔌 k sath laga kar2. Bhut sare information jo Alexa ko pata he nhi hai3.ek baar off hone par dubara connect karne k liye sara wifi Bluetooth connect karna padta hai4.only ye apke waaj nhi parchanta5.har ek dialogue k baad ye chup ho jata haiKul mila jula kar ye Alexa bekar hai isse sakta or acha google home mini mai 1.5 year use kar raha hu
49,"The size to sound ratio is just excellent, the emphasis seems to be on voice but the base is absent so this is not for the base head.This is the most responsive voice integration that I have seen, as you say, Alexa, it starts listing. There are a lot of things that you can ask Alexa like adding a product in your Amazon cart, open rain sound, play music, set alarm, etc.The interesting thing is that Alexa also listing commands in Hindi as well. This is only a part of the home automation system. All the smart equipment/products you purchase can be connected with Alexa like a light bulb to control it with voice etc. but for that, you need a router in your home.ConclusionThe speaker does not have a battery but he can be connected via Bluetooth from your phone and PC. Which is a good thing but all of a sudden it stops playing for no reason which is very annoying?I got it in INR 2500, at this price you must buy it, just to experience a smart speaker but in INR 3500 it looks a bit expansive. If you decide to buy this then this going to be the first step to transform your home into a smart home."
50,"Feeling pitty on amazon. I have ordered for three product on prime day. But I didn't recieved the product. On the next day itself it says (return recieved) and it was the mistake of courier service and amazon. But when I called the customer service, they ensured me that the placed it again with the same price. But still the status on my dashboard wasn't updated. So I called to customer service again, and he too said same. After 4-5 days I called again, and now they are saying that nothing is updated and I have to place the order again(with today's price). Then what's amazon prime for?! If they can't sell their own product in a wise way.. So disappointing.it was a gift for my brother. And it delayed again. I need a clear action from Amazon service with this matter."
51,"Hi I am using this from the beginning and I have echo 3rd gen ordered from Amazon but nowadays when I uses it, it suddenly gets stop and nothing happens  I have to manually swith off and switch on to resolve the issue, and again it happens please do the needful to help me.."
52,"It is useless device and waste of money it only work with registered WiFi with amazon not with in coming signal of the Alexa app computer or mobile , no one else in the house can use it if registered WiFi is not available and at the same time we can not register two ,three signals . Alexa becomes use less when there is no internet , and there are lot of restrictions like hand free not available when in battery saver mode etc etc . at many a times it can not understand your voice and there are many app's missing in window computer .if i instruct it to teach Gramer to children it can not do . what a useless device it is , i even wanted to buy Fire TV stick but lots of them in used market ,hence i thought there must be some problem like this in that also hence stopped its purchase .My advice to Amazon is make it user friendly . do not restrict to one WiFi signal ,Take the in coming signal or allow us to register two ,three signal there should not restrict Hand free etc .With RegardsRavishankar"
53,"Excellent service provided by the device.. Only problem is with Eco dot 3rd generation device that it’s only launch an app but never plays a video, especially YouTube.. This feature is a very basic one and should be added with this device which will enhance the product services overall.. Please take it as a consideration. Also it should be connected to atleast 2 Firesticks or 2 TV’s in a single home.. This should be the minimum. I am very much sure, if these two features could be added with this device, it will enhance the overall service of the product and will reach to many other people in India and thus increase the sale of the product.."
54,"Expensive, Smart speaker works only when plugged in. Bluetooth V2.0 is very old dur to this audio is very poor, sound becomes very low. No battery to support the speaker so if no power you cannot use the device. Sometimes while song change you hear a distorted sound. Not worth the purchase as Bluetooth quality in the speaker is bad. You need to shout then only Alexa can hear you - voice sensor is poor. On full volume Alexa will not recognise your command."
55,"My only disappointment is that it does not have battery and when power goes off it dies.Sound quality is very good, good bass but not like woofer.It can be used as Bluetooth speaker. But not sure if Bluetooth earphones works with it. Will update about it later."
